[1732917610] 删除文件失败: /mnt/tfcard/videos/20241130055151_4.mp4, 错误码: 256
[1732848944] 删除一批文件失败: /mnt/tfcard/videos/20241129104300_12.mp4 , 错误码: 256
[1732848316] 删除一批文件失败: /mnt/tfcard/videos/20241129101518_18.mp4 , 错误码: 256
[1732848316] 删除一批文件失败: /mnt/tfcard/videos/20241129101518_19.mp4 , 错误码: 256
[1732848319] 删除一批文件失败: /mnt/tfcard/videos/20241129101518_20.mp4 , 错误码: 256
[1732848320] 删除一批文件失败: /mnt/tfcard/videos/20241129101518_21.mp4 , 错误码: 256
[1732848323] 删除一批文件失败: /mnt/tfcard/videos/20241129101518_22.mp4 , 错误码: 256
[1732848323] 删除一批文件失败: /mnt/tfcard/videos/20241129101518_23.mp4 , 错误码: 256
[1732848326] 删除一批文件失败: /mnt/tfcard/videos/20241129101518_24.mp4 , 错误码: 256
[1732848327] 删除一批文件失败: /mnt/tfcard/videos/20241129101518_25.mp4 , 错误码: 256
[1732848330] 删除一批文件失败: /mnt/tfcard/videos/20241129101518_26.mp4 , 错误码: 256
[1732848330] 删除一批文件失败: /mnt/tfcard/videos/20241129101518_27.mp4 , 错误码: 256
[1732848333] 删除一批文件失败: /mnt/tfcard/videos/20241129101518_28.mp4 , 错误码: 256
[1734688423] 删除文件 /mnt/tfcard/videos1/2024-12-20_17-32-41.mp4 失败: /mnt/tfcard/videos1/2024-12-20_17-32-41.mp4 , 错误码: 256
[1734688610] 删除文件 /mnt/tfcard/videos1/2024-12-20_17-37-42.mp4 失败: /mnt/tfcard/videos1/2024-12-20_17-37-42.mp4 , 错误码: 256
[1734690250] 删除文件 /mnt/tfcard/videos2/2024-12-20_18-02-43.mp4 失败: /mnt/tfcard/videos2/2024-12-20_18-02-43.mp4 , 错误码: 256
[1734691523] 删除文件 /mnt/tfcard/videos1/2024-12-20_18-22-41.mp4 失败: /mnt/tfcard/videos1/2024-12-20_18-22-41.mp4 , 错误码: 256
[1734692070] 删除文件 /mnt/tfcard/videos2/2024-12-20_18-32-43.mp4 失败: /mnt/tfcard/videos2/2024-12-20_18-32-43.mp4 , 错误码: 256
[1734688972] 删除文件 /mnt/tfcard/videos2/2024-12-20_17-42-42.mp4 失败: /mnt/tfcard/videos2/2024-12-20_17-42-42.mp4 , 错误码: 256
[1734731951] 删除文件 /mnt/tfcard/videos2/2024-12-20_17-32-40.mp4 失败: /mnt/tfcard/videos2/2024-12-20_17-32-40.mp4 , 错误码: 256
[1735267979] 删除文件 /mnt/tfcard/videos2/2024-12-27_10-35-24.mp4 失败: /mnt/tfcard/videos2/2024-12-27_10-35-24.mp4 , 错误码: 256
[1735268536] 删除文件 /mnt/tfcard/videos2/2024-12-27_10-43-24.mp4 失败: /mnt/tfcard/videos2/2024-12-27_10-43-24.mp4 , 错误码: 256
[1735269284] 删除文件 /mnt/tfcard/videos2/2024-12-27_10-56-24.mp4 失败: /mnt/tfcard/videos2/2024-12-27_10-56-24.mp4 , 错误码: 256
[1735272827] 删除文件 /mnt/tfcard/videos1/2024-12-27_11-55-23.mp4 失败: /mnt/tfcard/videos1/2024-12-27_11-55-23.mp4 , 错误码: 256
[1751418722] 删除文件 /mnt/tfcard/videos2/2025-06-21_18-10-07.mp4 失败: /mnt/tfcard/videos2/2025-06-21_18-10-07.mp4 , 错误码: 256
